"","vegetation.type","myrtaceae","fabaceae","rubiaceae"
"721","High.Elevation",29,78,24
"722","High.Elevation",25,10,34
"723","High.Elevation",29,38,24
"724","High.Elevation",15,6,41
"725","High.Elevation",13,78,43
"726","High.Elevation",5,10,34
"727","High.Elevation",17,11,34
"728","High.Elevation",4,11,24
"729","High.Elevation",29,70,24
"730","High.Elevation",29,3,41
"731","High.Elevation",14,60,41
"732","High.Elevation",31,14,40
"733","High.Elevation",36,11,41
"734","High.Elevation",25,70,40
"735","High.Elevation",17,14,40
"736","High.Elevation",9,10,24
"737","High.Elevation",10,8,43
"738","High.Elevation",19,70,41
"739","High.Elevation",36,27,40
"740","High.Elevation",11,8,2
"741","High.Elevation",39,8,24
"742","High.Elevation",31,87,41
"743","High.Elevation",30,9,34
"744","High.Elevation",54,87,40
"745","High.Elevation",16,8,24
"746","High.Elevation",4,15,34
"747","High.Elevation",40,17,3
"748","High.Elevation",28,11,34
"749","High.Elevation",29,13,44
"750","High.Elevation",32,3,34
"751","High.Elevation",13,8,34
"752","High.Elevation",37,3,34
"753","High.Elevation",15,70,40
"754","High.Elevation",28,87,40
"755","High.Elevation",68,13,6
"756","High.Elevation",14,25,42
"757","High.Elevation",38,10,43
"758","High.Elevation",37,9,42
"759","High.Elevation",71,22,5
"760","High.Elevation",32,12,42
"761","High.Elevation",17,17,41
"762","High.Elevation",41,9,41
"763","High.Elevation",58,37,8
"764","High.Elevation",41,20,40
"765","High.Elevation",35,19,3
"766","High.Elevation",36,17,6
"767","High.Elevation",68,24,4
"768","High.Elevation",58,29,42
"769","High.Elevation",31,12,41
"770","High.Elevation",38,19,3
"771","High.Elevation",48,22,6
"772","High.Elevation",36,10,34
"773","High.Elevation",50,24,40
"774","High.Elevation",24,22,43
"775","High.Elevation",5,28,40
"776","High.Elevation",35,14,24
"777","High.Elevation",40,20,3
"778","High.Elevation",15,14,40
"779","High.Elevation",30,10,34
"780","High.Elevation",37,19,3
"781","High.Elevation",35,6,42
"782","High.Elevation",25,15,40
"783","High.Elevation",24,14,24
"784","High.Elevation",26,21,44
"785","High.Elevation",14,15,43
"786","High.Elevation",27,10,34
"787","High.Elevation",29,8,40
"788","High.Elevation",41,36,5
"789","High.Elevation",21,22,40
"790","High.Elevation",21,22,43
"791","High.Elevation",15,13,40
"792","High.Elevation",29,11,41
"793","High.Elevation",3,19,43
"794","High.Elevation",27,40,3
"795","High.Elevation",14,24,34
"796","High.Elevation",31,29,43
"797","High.Elevation",17,14,41
"798","High.Elevation",37,21,42
"799","High.Elevation",11,10,43
"800","High.Elevation",15,11,40
"801","High.Elevation",14,14,40
"802","High.Elevation",18,15,42
"803","High.Elevation",25,78,13
"804","High.Elevation",44,8,42
"805","High.Elevation",36,14,5
"806","High.Elevation",13,78,43
"807","High.Elevation",29,6,44
"808","High.Elevation",27,11,34
"809","High.Elevation",35,31,15
"810","High.Elevation",25,49,40
"811","High.Elevation",21,38,34
"812","High.Elevation",30,8,41
"813","Rocky",7,13,3
"814","Rocky",11,38,24
"815","Rocky",13,78,41
"816","Rocky",19,87,42
"817","Rocky",26,10,42
"818","Rocky",24,78,4
"819","Rocky",15,78,40
"820","Rocky",10,70,24
"821","Rocky",22,87,34
"822","Rocky",43,13,6
"823","Rocky",27,78,42
"824","Rocky",28,10,43
"825","Rocky",31,12,44
"826","Rocky",16,49,24
"827","Rocky",22,87,41
"828","Rocky",9,17,24
"829","Rocky",5,13,13
"830","Rocky",13,70,34
"831","Rocky",27,14,34
"832","Rocky",10,38,34
"833","Rocky",13,15,34
"834","Rocky",16,70,34
"835","Rocky",16,3,24
"836","Rocky",24,18,40
"837","Rocky",15,13,24
"838","Rocky",37,8,41
"839","Rocky",31,13,42
"840","Rocky",6,11,13
"841","Rocky",7,6,40
"842","Rocky",24,9,43
"843","Rocky",24,87,42
"844","Rocky",67,11,13
"845","Rocky",4,3,40
"846","Rocky",79,78,34
"847","Rocky",1,15,34
"848","Rocky",79,60,34
"849","Rocky",3,3,40
"850","Rocky",56,87,13
"851","Rocky",1,13,41
"852","Rocky",74,9,40
"853","Rocky",74,9,40
"854","Rocky",45,60,34
"855","Rocky",74,3,34
"856","Rocky",1,10,24
"857","Rocky",2,17,34
"858","Rocky",1,9,24
"859","Rocky",74,11,24
"860","Rocky",79,12,34
"861","Rocky",6,20,24
"862","Rocky",5,22,40
"863","Rocky",4,14,40
"864","Rocky",12,3,40
"865","Rocky",2,12,24
"866","Rocky",67,12,13
"867","Rocky",79,17,24
"868","Rocky",3,11,13
"869","Rocky",1,12,34
"870","Rocky",79,15,13
"871","Rocky",2,23,40
"872","Rocky",3,18,40
"873","Rocky",74,14,24
"874","Rocky",10,18,41
"875","Rocky",3,21,40
"876","Rocky",9,19,40
"877","Rocky",13,20,40
"878","Rocky",9,30,34
"879","Rocky",5,14,34
"880","Rocky",79,23,34
"881","Rocky",10,25,40
"882","Rocky",4,17,34
"883","Rocky",79,18,34
"884","Rocky",12,87,34
